piece_id,produit_id,type_piece,temp_air_K,temp_process_K,vitesse_rotation_rpm,couple_Nm,usure_outil_min,panne_machine,defaut_usure_outil,defaut_chaleur,defaut_puissance,defaut_surcharge,defaut_aleatoire,usine,temp_air_C,temp_process_C,delta_temp_C,puissance_W,ratio_couple_vitesse,nb_defauts
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,FR-Toulouse,24.95,35.45,10.5,6951.59,0.0276,0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,ES-Barcelone,25.05,35.55,10.5,6826.72,0.0329,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,ES-Madrid,24.95,35.35,10.4,7749.39,0.033,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,FR-Nantes,25.05,35.45,10.4,5927.5,0.0275,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,FR-Lyon,25.05,35.55,10.5,5897.82,0.0284,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,FR-Lyon,24.95,35.45,10.5,6252.55,0.0294,0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,FR-Lyon,24.95,35.45,10.5,6917.7,0.0272,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,ES-Barcelone,24.95,35.45,10.5,6428.26,0.0263,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,FR-Nantes,25.15,35.55,10.4,4992.64,0.0171,0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,ES-Madrid,25.35,35.85,10.5,5104.88,0.0161,0
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,FR-Lyon,25.25,35.75,10.5,4459.99,0.0134,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,ES-Barcelone,25.45,35.95,10.5,6601.42,0.0311,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,ES-Madrid,25.45,35.95,10.5,7165.23,0.0381,0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,FR-Lyon,25.45,36.05,10.6,5472.65,0.0172,0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,FR-Lyon,25.45,36.05,10.6,4176.85,0.0096,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,FR-Lyon,25.45,36.05,10.6,7815.53,0.0314,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,FR-Toulouse,25.45,36.05,10.6,6397.6,0.0355,0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,FR-Nantes,25.55,36.05,10.5,6733.06,0.0323,0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,FR-Toulouse,25.65,36.05,10.4,7453.64,0.0417,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,FR-Toulouse,25.75,36.15,10.4,5554.34,0.0199,0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,FR-Nantes,25.75,36.15,10.4,6148.36,0.031,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,FR-Lyon,25.65,36.15,10.5,6802.6,0.0309,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,FR-Toulouse,25.75,36.15,10.4,5082.75,0.0194,0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,FR-Toulouse,25.85,36.25,10.4,4731.3,0.0146,0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,FR-Nantes,25.85,36.25,10.4,6097.34,0.0239,0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,ES-Madrid,25.85,36.35,10.5,4540.78,0.0125,0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,FR-Lyon,25.95,36.35,10.4,6175.11,0.0258,0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,FR-Nantes,25.95,36.25,10.3,4665.33,0.0136,0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,FR-Nantes,25.95,36.25,10.3,6660.57,0.0307,0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,FR-Lyon,25.85,36.25,10.4,5336.45,0.0178,0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,FR-Nantes,25.95,36.35,10.4,6758.59,0.036,0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,FR-Lyon,25.85,36.25,10.4,4801.3,0.0142,0
