temp_air_C,temp_process_C,delta_temp_C,vitesse_rotation_rpm,couple_Nm,usure_outil_min,puissance_W,ratio_couple_vitesse,type_piece_L,type_piece_M,panne_machine,RUL_min,usine,piece_id
24.95,35.45,10.5,1551,42.8,0,6951.59,0.0276,0,1,0,262.5,FR-Toulouse,1
25.05,35.55,10.5,1408,46.3,3,6826.72,0.0329,1,0,0,256.3,ES-Barcelone,2
24.95,35.35,10.4,1498,49.4,5,7749.39,0.033,1,0,0,258.2,ES-Madrid,3
25.05,35.45,10.4,1433,39.5,7,5927.5,0.0275,1,0,0,260.6,FR-Nantes,4
25.05,35.55,10.5,1408,40.0,9,5897.82,0.0284,1,0,0,249.8,FR-Lyon,5
24.95,35.45,10.5,1425,41.9,11,6252.55,0.0294,0,1,0,247.8,FR-Lyon,6
24.95,35.45,10.5,1558,42.4,14,6917.7,0.0272,1,0,0,253.9,FR-Lyon,7
24.95,35.45,10.5,1527,40.2,16,6428.26,0.0263,1,0,0,247.8,ES-Barcelone,8
25.15,35.55,10.4,1667,28.6,18,4992.64,0.0171,0,1,0,239.7,FR-Nantes,9
25.35,35.85,10.5,1741,28.0,21,5104.88,0.0161,0,1,0,241.7,ES-Madrid,10
25.25,35.75,10.5,1782,23.9,24,4459.99,0.0134,0,0,0,233.7,FR-Lyon,11
25.45,35.95,10.5,1423,44.3,29,6601.42,0.0311,0,0,0,228.7,ES-Barcelone,12
25.45,35.95,10.5,1339,51.1,34,7165.23,0.0381,0,1,0,227.2,ES-Madrid,13
25.45,36.05,10.6,1742,30.0,37,5472.65,0.0172,0,1,0,213.4,FR-Lyon,14
25.45,36.05,10.6,2035,19.6,40,4176.85,0.0096,1,0,0,211.4,FR-Lyon,15
25.45,36.05,10.6,1542,48.4,42,7815.53,0.0314,1,0,0,215.2,FR-Lyon,16
25.45,36.05,10.6,1311,46.6,44,6397.6,0.0355,0,1,0,210.9,FR-Toulouse,17
25.55,36.05,10.5,1410,45.6,47,6733.06,0.0323,0,1,0,214.6,FR-Nantes,18
25.65,36.05,10.4,1306,54.5,50,7453.64,0.0417,0,0,0,205.5,FR-Toulouse,19
25.75,36.15,10.4,1632,32.5,55,5554.34,0.0199,0,1,0,197.9,FR-Toulouse,20
25.75,36.15,10.4,1375,42.7,58,6148.36,0.031,0,0,0,209.3,FR-Nantes,21
25.65,36.15,10.5,1450,44.8,63,6802.6,0.0309,1,0,0,195.9,FR-Lyon,22
25.75,36.15,10.4,1581,30.7,65,5082.75,0.0194,0,1,0,195.3,FR-Toulouse,23
25.85,36.25,10.4,1758,25.7,68,4731.3,0.0146,1,0,0,184.9,FR-Toulouse,24
25.85,36.25,10.4,1561,37.3,70,6097.34,0.0239,0,1,0,187.3,FR-Nantes,25
25.85,36.35,10.5,1861,23.3,73,4540.78,0.0125,1,0,0,187.6,ES-Madrid,26
25.95,36.35,10.4,1512,39.0,75,6175.11,0.0258,1,0,0,179.2,FR-Lyon,27
25.95,36.25,10.3,1811,24.6,77,4665.33,0.0136,0,0,0,184.9,FR-Nantes,28
25.95,36.25,10.3,1439,44.2,82,6660.57,0.0307,1,0,0,175.0,FR-Nantes,29
25.85,36.25,10.4,1693,30.1,84,5336.45,0.0178,1,0,0,174.5,FR-Lyon,30
