Timestamp,Machine ID,Material Category,Material Name,Quantity Used (kg),Recycled Material (%),Energy Consumption (kWh),Production Output (Units),Defect Rate (%)
2025-05-01 08:00:00,M002,Raw Material,Polypropylene,86.73,0.0,96.74,204,3.38
2025-05-01 08:05:00,M009,Raw Material,Cotton,54.77,0.0,91.24,338,2.53
2025-05-01 08:10:00,M001,Hazardous Material,Lead-Based Alloy,157.4,0.0,164.16,529,1.1
2025-05-01 08:15:00,M010,Process Additive,Industrial Oil,163.82,0.0,99.16,532,1.7
2025-05-01 08:20:00,M003,Intermediate Material,Plastic Resin,65.33,0.0,125.59,467,4.24
2025-05-01 08:25:00,M010,Process Additive,Industrial Oil,159.46,0.0,144.35,487,0.39
2025-05-01 08:30:00,M005,Finished Material,Packaging,182.82,0.0,123.4,296,3.52
2025-05-01 08:35:00,M001,Finished Material,Circuit Board,165.96,0.0,198.23,975,1.16
2025-05-01 08:40:00,M002,Recycled Material,Reprocessed Plastics,118.01,41.71,99.52,463,1.05
2025-05-01 08:45:00,M005,Finished Material,Packaging,147.21,0.0,153.1,275,2.67
2025-05-01 08:50:00,M004,Intermediate Material,Plastic Resin,106.92,0.0,198.74,755,3.44
2025-05-01 08:55:00,M004,Finished Material,Machine Component,176.43,0.0,173.12,334,4.11
2025-05-01 09:00:00,M006,Recycled Material,Reprocessed Plastics,59.93,45.66,148.06,835,1.57
2025-05-01 09:05:00,M008,Recycled Material,Reprocessed Plastics,71.43,6.98,169.4,651,1.31
2025-05-01 09:10:00,M010,Recycled Material,Reprocessed Plastics,104.3,49.87,96.6,605,0.45
2025-05-01 09:15:00,M001,Raw Material,Aluminum,144.12,0.0,175.05,532,2.98
2025-05-01 09:20:00,M007,Recycled Material,Reprocessed Plastics,129.37,48.55,183.29,111,3.4
2025-05-01 09:25:00,M002,Finished Material,Packaging,162.63,0.0,172.23,448,0.56
2025-05-01 09:30:00,M007,Intermediate Material,Plastic Resin,50.49,0.0,166.65,836,1.32
2025-05-01 09:35:00,M009,Intermediate Material,Textiles,186.89,0.0,184.46,405,4.21
2025-05-01 09:40:00,M009,Hazardous Material,Lead-Based Alloy,72.93,0.0,171.5,652,4.77
2025-05-01 09:45:00,M009,Raw Material,Polypropylene,123.29,0.0,93.42,471,4.39
2025-05-01 09:50:00,M005,Intermediate Material,Sheet Metal,86.13,0.0,148.08,180,0.43
2025-05-01 09:55:00,M008,Raw Material,Aluminum,69.26,0.0,137.03,662,0.83
2025-05-01 10:00:00,M009,Hazardous Material,Solvent,194.65,0.0,191.47,873,3.65
2025-05-01 10:05:00,M004,Finished Material,Machine Component,109.85,0.0,160.6,482,2.19
2025-05-01 10:10:00,M009,Recycled Material,Scrap Steel,87.19,3.2,82.52,667,1.15
2025-05-01 10:15:00,M004,Raw Material,Steel,156.18,0.0,87.06,169,4.53
2025-05-01 10:20:00,M006,Raw Material,Aluminum,91.77,0.0,138.25,652,0.66
2025-05-01 10:25:00,M010,Hazardous Material,Solvent,86.45,0.0,136.76,516,0.95
2025-05-01 10:30:00,M002,Finished Material,Machine Component,103.14,0.0,129.33,984,3.65
2025-05-01 10:35:00,M002,Raw Material,Cotton,159.23,0.0,176.07,211,1.24
2025-05-01 10:40:00,M004,Hazardous Material,Solvent,71.03,0.0,102.02,573,1.25
2025-05-01 10:45:00,M002,Recycled Material,Scrap Steel,57.59,49.96,180.32,195,4.63
2025-05-01 10:50:00,M004,Intermediate Material,Plastic Resin,122.85,0.0,105.65,510,4.51
2025-05-01 10:55:00,M003,Recycled Material,Scrap Steel,197.8,13.26,174.09,565,1.43
2025-05-01 11:00:00,M009,Finished Material,Packaging,123.0,0.0,102.79,322,4.84
2025-05-01 11:05:00,M010,Finished Material,Packaging,59.14,0.0,117.63,151,2.92
2025-05-01 11:10:00,M009,Hazardous Material,Lead-Based Alloy,58.53,0.0,140.94,971,0.93
2025-05-01 11:15:00,M010,Raw Material,Aluminum,110.57,0.0,192.99,683,1.23
2025-05-01 11:20:00,M010,Raw Material,Steel,112.88,0.0,150.04,635,1.58
2025-05-01 11:25:00,M005,Intermediate Material,Textiles,157.43,0.0,108.64,505,0.65
2025-05-01 11:30:00,M005,Recycled Material,Reprocessed Plastics,189.35,46.79,81.12,736,4.99
2025-05-01 11:35:00,M002,Raw Material,Aluminum,125.88,0.0,95.89,457,4.4
2025-05-01 11:40:00,M004,Process Additive,Coolant,73.66,0.0,180.05,820,1.51
2025-05-01 11:45:00,M009,Raw Material,Polypropylene,189.76,0.0,92.43,999,0.67
2025-05-01 11:50:00,M002,Raw Material,Aluminum,90.85,0.0,152.58,834,1.71
2025-05-01 11:55:00,M005,Hazardous Material,Solvent,87.67,0.0,188.98,152,0.46
2025-05-01 12:00:00,M007,Process Additive,Industrial Oil,50.53,0.0,172.53,752,4.9
2025-05-01 12:05:00,M003,Finished Material,Machine Component,132.75,0.0,131.32,109,0.56
2025-05-01 12:10:00,M003,Hazardous Material,Lead-Based Alloy,175.19,0.0,149.9,251,2.15
2025-05-01 12:15:00,M001,Process Additive,Coolant,184.85,0.0,175.53,981,0.2
2025-05-01 12:20:00,M006,Intermediate Material,Textiles,87.43,0.0,92.34,898,2.8
2025-05-01 12:25:00,M007,Hazardous Material,Lead-Based Alloy,188.86,0.0,108.41,266,4.88
2025-05-01 12:30:00,M003,Recycled Material,Scrap Steel,76.9,46.22,173.89,521,4.01
2025-05-01 12:35:00,M004,Process Additive,Industrial Oil,168.11,0.0,92.97,993,0.19
2025-05-01 12:40:00,M008,Intermediate Material,Sheet Metal,172.49,0.0,135.24,412,4.1
2025-05-01 12:45:00,M004,Intermediate Material,Sheet Metal,149.0,0.0,127.82,385,4.32
2025-05-01 12:50:00,M005,Process Additive,Catalyst,126.41,0.0,161.54,963,2.68
2025-05-01 12:55:00,M001,Raw Material,Polypropylene,76.79,0.0,195.5,371,0.19
2025-05-01 13:00:00,M010,Recycled Material,Reprocessed Plastics,159.28,15.68,152.75,623,0.58
2025-05-01 13:05:00,M010,Intermediate Material,Plastic Resin,56.66,0.0,132.33,632,4.63
2025-05-01 13:10:00,M009,Finished Material,Packaging,191.04,0.0,168.44,301,1.82
2025-05-01 13:15:00,M002,Finished Material,Machine Component,143.47,0.0,159.61,227,3.6
2025-05-01 13:20:00,M005,Hazardous Material,Solvent,150.03,0.0,119.14,813,1.48
2025-05-01 13:25:00,M003,Intermediate Material,Plastic Resin,149.74,0.0,125.5,866,4.51
2025-05-01 13:30:00,M010,Hazardous Material,Solvent,110.91,0.0,180.05,411,1.43
2025-05-01 13:35:00,M007,Hazardous Material,Solvent,119.75,0.0,133.06,318,2.56
2025-05-01 13:40:00,M003,Finished Material,Circuit Board,92.57,0.0,159.66,734,1.68
2025-05-01 13:45:00,M004,Finished Material,Machine Component,83.7,0.0,103.9,125,0.23
2025-05-01 13:50:00,M008,Hazardous Material,Lead-Based Alloy,118.31,0.0,186.34,689,0.97
2025-05-01 13:55:00,M007,Recycled Material,Reprocessed Plastics,86.6,32.8,80.67,868,4.3
2025-05-01 14:00:00,M002,Recycled Material,Scrap Steel,76.38,47.9,142.15,151,2.79
2025-05-01 14:05:00,M002,Recycled Material,Scrap Steel,170.21,33.38,198.55,709,1.59
2025-05-01 14:10:00,M008,Hazardous Material,Solvent,174.59,0.0,145.74,262,3.72
2025-05-01 14:15:00,M008,Recycled Material,Reprocessed Plastics,162.77,41.99,113.28,896,2.61
2025-05-01 14:20:00,M004,Process Additive,Coolant,61.62,0.0,114.29,378,1.68
2025-05-01 14:25:00,M009,Raw Material,Aluminum,72.62,0.0,125.96,256,3.53
2025-05-01 14:30:00,M002,Recycled Material,Reprocessed Plastics,99.63,23.3,87.47,952,2.1
2025-05-01 14:35:00,M010,Finished Material,Circuit Board,178.51,0.0,171.87,489,2.38
2025-05-01 14:40:00,M006,Process Additive,Coolant,178.02,0.0,194.41,529,2.69
2025-05-01 14:45:00,M009,Hazardous Material,Lead-Based Alloy,123.23,0.0,112.75,597,0.15
2025-05-01 14:50:00,M006,Finished Material,Packaging,169.72,0.0,166.9,960,2.34
